País,WMO,ICAO,Estação,Latitude,Longitude,Altitude
BZ,83757,-,PIRAI,-22.63,-43.9,545
BZ,83758,-,ILHA GUAIBA,-23,-44.03,65
BZ,83759,SBES,SAO PEDRO DA ALDEIA (AEROPORTO),22.82,-42.1,11
BZ,83760,-,COOPER COTIA,-23.58,-46.88,838
BZ,83762,-,RIO DOURO,-22.62,-43.47,127
BZ,83763,-,TINGUA,-22.58,-43.35,126
BZ,83764,-,XEREM,-22.58,-43.5,144
BZ,83765,-,ARARAS,-22.52,-43.18,820
BZ,83766,SBXO,LONDRINA,-23.38,-51.18,566
BZ,83767,SBMG,MARINGA,23.48,-52.02,542
BZ,83768,SBLO,LONDRINA (AEROPORTO),23.32,-51.12,569
BZ,83769,-,JACAREZINHO,-23.15,-49.97,471
BZ,83770,-,FAZENDA IPANEMA/IPERO,-23.42,-47.58,619
BZ,83772,-,MOGI DAS CRUZES,-23.55,-46.22,775
BZ,83773,-,AVARE,-23.08,-48.9,793
BZ,83774,-,ITAPEVA,-23.95,-48.88,647
BZ,83775,-,GUAIRA,-24.08,-54.25,230
BZ,83776,-,ITAPETININGA,-23.58,-48.05,645
BZ,83777,-,TIETE,-23,-47.72,538
BZ,83778,SBGR,SAO PAULO (AEROP. DE GUARULHOS),23.42,-46.47,750
BZ,83779,SBMT,SAO PAULO (CAMPO DE MARTE),23.52,-46.62,722
BZ,83780,SBSP,SAO PAULO (AEROPORTO CONGONHAS),23.62,-46.63,803
BZ,83781,SBXP,SAO PAULO,-23.5,-46.62,792
BZ,83782,-,SANTOS,-23.93,-46.32,14
BZ,83783,-,CAMPO MOURAO,-24.05,-52.37,616
BZ,83784,-,TAUBATE,-23.02,-45.57,577
BZ,83785,-,SAO SEBASTIAO,-23.82,-45.42,5
BZ,83786,-,UBATUBA,-23.45,-45.07,8
BZ,83787,-,MOELA,-24.05,-46.27,101
BZ,83788,-,ANGRA DOS REIS,-23.02,-44.32,2
BZ,83789,-,SANTA CRUZ,-22.92,-43.68,63
BZ,83790,-,RIO DE JANEIRO -BANGU,-22.87,-43.45,40
BZ,83796,-,RIO DE JANEIRO -JARDIM BOTANICO,-22.97,-43.22,5
BZ,83798,-,RIO DE JANEIRO -SANTA TERESA,-22.92,-43.18,180
BZ,83799,-,RIO DE JANEIRO -PAO DE ACUCAR,-22.97,-43.25,400
BZ,83801,-,REALENGO,-22.87,-43.42,42
BZ,83802,-,SAO BENTO,-22.73,-43.3,6
BZ,83803,-,NITEROI,-22.9,-43.12,14
BZ,83805,-,SANTO ANTONIO DE PADUA,-21.53,-42.15,95
BZ,83806,-,TERESOPOLIS,-22.45,-42.93,959
BZ,83807,-,CARMO,-21.92,-42.62,342
BZ,83808,-,CASA GRANDE,-23.63,-45.92,914
BZ,83809,-,SAO JOSE DOS CAMPOS,-23.23,-45.83,625
BZ,83810,-,SANTA BRANCA C,-23.45,-45.87,700
BZ,83811,-,IVAI,-25,-50.85,808
BZ,83812,-,TATUI,-23.33,-47.87,634
BZ,83813,-,CASTRO,-24.78,-50,1.009
BZ,83814,-,JAGUARIAIVA,-24.25,-49.7,923
BZ,83815,-,LARANJEIRAS,-22.92,-43.22,17
BZ,83816,-,MAGE,-22.63,-48.12,4
BZ,83818,SBST,SANTOS (AEROPORTO),23.92,-46.28,3
BZ,83819,-,SAO BERNARDO DO CAMPO,-23.72,-46.53,748
BZ,83820,-,TELEMACO BORBA,-24.48,-50.65,600
BZ,83821,-,IGUAPE,-24.72,-47.55,3
BZ,83823,-,ITAPEMA (VIC.CARVALHO),-23.92,-46.42,21
BZ,83824,-,ITU,-23.27,-47.28,616
BZ,83825,-,ILHA DO MEL,-25.48,-48.32,4
BZ,83826,-,FOZ DO IGUACU,-25.55,-54.57,154
