UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Cod Municipio Completo,Nome_Município
15,Pará,1,Baixo Amazonas,2,Santarém,4752,1504752,Mojuí dos Campos
42,Santa Catarina,6,Sul Catarinense,18,Tubarão,12650,4212650,Pescaria Brava
42,Santa Catarina,6,Sul Catarinense,19,Criciúma,20000,4220000,Balneário Rincão
43,Rio Grande do Sul,2,Nordeste Rio-grandense,16,Caxias do Sul,14548,4314548,Pinto Bandeira
50,Mato Grosso do Sul,3,Leste de Mato Grosso do Sul,5,Cassilândia,6275,5006275,Paraíso das Águas
